-428 | 48.80
279 | -700.92
298 | 902.22
940 | 923.27
935 | -983.90
-65 | -665.15
180 | -648.31
552 | 313.67
162 | -410.96
830 | 325.06
823 | 510.54
-283 | -809.18
-541 | -51.91
-191 | -476.42
-109 | 678.64
753 | 238.82
482 | -212.31
-788 | -265.03
-741 | 138.86
-186 | 846.97
168 | 389.94
853 | 967.02
199 | -343.10
-696 | 611.21
-872 | -874.13
835 | 635.31
-324 | 710.79
-222 | 886.31
403 | -838.25
975 | 967.74
449 | 270.51
-330 | -466.16
239 | -361.27
-317 | 714.13
683 | 608.02
44 | 2.60
-122 | 805.84
975 | 823.15
214 | -192.05
-825 | -58.20
-405 | 485.73
-811 | -43.13
-246 | -781.63
-39 | -922.21
819 | -133.58
-642 | -607.80
-718 | -846.80
-576 | -348.72
-270 | 406.30
78 | -117.99
-171 | -58.68
-284 | 771.41
-138 | -277.39
111 | -838.54
-205 | -91.90
-848 | 15.37
449 | -821.25
-717 | 603.71
-651 | 998.53
-554 | 963.04
162 | -991.10
-959 | -598.47
-999 | 299.66
977 | 629.55
535 | -883.44
-612 | 23.48
116 | -176.03
-347 | 815.55
-188 | -161.27
-448 | -520.69
