335,170,478
837,836,925
829,862,206
353,415,312
308,119,403
840,132,475
618,779,641
445,628,399
715,901,322
887,674,210
778,356,738
404,489,170
258,836,433
878,726,140
571,875,857
213,636,626
155,840,761
148,814,825
115,841,935
507,861,216
874,121,336
851,101,870
688,471,585
267,115,359
581,509,728
558,290,987
337,712,460
520,131,673
291,801,188
455,828,216
512,192,122
976,1000,271
857,999,107
130,988,688
651,762,505
847,916,142
304,917,202
668,309,321
230,434,796
705,892,207
539,584,465
216,922,451
208,878,634
778,677,943
529,273,644
705,291,116
744,817,172
945,991,100
932,393,397
975,903,449
884,226,780
667,412,469
595,253,556
800,613,241
606,435,736
292,815,983
332,423,963
271,383,301
174,361,282
791,265,871
183,100,346
912,499,388
614,606,239
473,156,281
322,732,477
434,947,744
654,108,452
893,106,227
570,723,426
518,204,470
456,325,277
878,324,560
128,695,713
607,920,302
270,728,594
315,356,790
122,343,154
595,718,732
585,384,856
964,424,484
897,216,560
508,308,716
994,457,421
683,329,556
368,311,141
495,444,891
585,516,686
146,409,911
725,173,484
322,796,688
970,882,286
568,541,537
681,115,258
253,290,416
749,374,499
463,131,432
280,720,448
272,149,490
215,445,476
194,388,997
489,873,250
906,293,346
338,597,710
387,883,249
993,390,288
454,288,666
888,379,628
373,223,774
674,585,893
137,949,846
857,252,365
740,854,713
899,839,395
305,877,841
884,484,361
114,582,615
113,476,821
323,462,547
104,119,224
586,627,712
656,293,115
918,629,196
833,636,535
163,673,940
222,149,953
417,739,241
864,965,256
843,701,653
380,254,310
491,371,449
346,188,425
684,271,906
691,559,560
477,444,214
853,543,515
995,670,697
809,359,484
602,712,724
259,171,119
695,759,189
247,171,556
708,834,315
587,814,731
559,782,609
394,797,333
659,231,330
664,738,611
375,953,117
453,837,407
720,119,239
185,763,274
440,179,735
590,285,287
557,183,169
847,186,417
108,132,257
222,657,357
768,824,858
927,419,385
574,874,494
591,809,975
694,245,378
677,148,373
915,306,371
144,916,476
714,735,750
307,635,165
460,341,778
459,672,113
783,712,345
109,130,876
139,938,348
329,203,532
659,359,924
990,733,119
203,150,362
363,205,930
819,799,770
211,305,276
755,488,984
676,553,665
394,973,783
213,190,528
276,666,813
606,236,861
370,886,807
937,728,139
478,415,841
339,551,285
641,783,309
896,695,207
545,241,861
726,275,735
438,161,597
540,385,961
114,590,231
527,876,940
789,380,967
210,652,903
369,533,676
333,796,803
364,387,999
700,647,556
652,291,164
315,413,530
181,936,501
362,915,188
153,483,657
848,972,994
838,925,483
832,543,137
722,680,853
656,928,417
203,393,906
695,466,956
130,610,353
952,271,752
952,642,184
209,127,557
248,747,517
719,944,852
939,312,679
283,350,551
321,229,595
426,638,660
214,151,603
588,403,332
885,691,198
254,194,718
415,646,681
196,865,533
962,547,424
262,626,110
695,681,920
452,310,705
489,340,813
774,942,537
260,660,321
296,188,985
655,952,414
417,506,623
217,355,340
