334,957,570
464,930,668
963,201,422
682,296,435
469,400,663
669,864,861
985,325,606
565,526,723
537,377,931
685,276,511
527,549,602
949,306,769
283,774,696
655,280,353
447,568,187
424,200,763
559,892,276
359,656,501
650,811,788
436,764,382
889,785,647
751,731,402
908,672,792
416,914,476
991,796,901
323,402,678
903,967,412
876,362,703
269,290,824
420,764,614
563,812,197
894,748,185
265,290,266
277,449,637
521,767,116
751,640,478
157,582,477
614,179,465
501,149,683
591,993,804
245,274,608
368,867,516
169,501,306
912,184,632
107,431,160
360,536,179
274,522,299
960,885,904
975,344,239
372,262,955
208,582,732
654,136,299
379,840,294
394,313,338
210,346,955
332,396,244
877,337,705
227,301,983
359,934,575
467,118,656
742,108,214
926,833,387
808,600,866
170,358,483
462,702,867
669,547,736
854,555,441
197,178,997
839,209,492
105,791,179
129,343,438
634,979,351
587,711,242
976,566,295
218,327,393
930,216,333
270,130,659
397,416,222
964,161,618
725,153,467
402,148,355
762,486,852
764,274,845
101,687,391
396,706,400
224,880,448
343,903,597
308,165,968
696,538,888
904,520,440
487,333,400
548,851,610
153,385,242
918,388,363
549,521,447
585,556,917
292,131,973
218,236,833
428,728,149
994,637,617
163,945,430
